DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
20-Mar-2026,IV,"90.69","90.98","90.11","90.01","90.89","90.81","90.63","98.19","74.96",1455925,"13,19,54,357.83",5975
19-Mar-2026,IV,"90.25","91.30","89.90","90.20","90.00","90.01","90.22","98.19","74.96",2176809,"19,64,00,490.93",8277
18-Mar-2026,IV,"90.36","91.00","90.06","90.35","90.35","90.20","90.50","98.19","74.96",1443112,"13,06,06,257.67",6450
17-Mar-2026,IV,"90.11","90.58","89.95","90.11","90.41","90.35","90.11","98.19","74.96",1309905,"11,80,40,066.37",6041
16-Mar-2026,IV,"90.90","90.97","90.01","90.51","90.10","90.11","90.33","98.19","74.96",1843867,"16,65,52,482.54",9449
13-Mar-2026,IV,"91.00","91.00","90.35","91.05","90.68","90.51","90.66","98.19","74.96",1514715,"13,73,26,921.37",7985
12-Mar-2026,IV,"91.00","91.49","90.65","90.86","91.39","91.05","90.96","98.19","74.96",1400501,"12,73,82,677.88",6399
11-Mar-2026,IV,"91.47","91.50","90.02","91.17","90.90","90.86","91.01","98.19","74.96",1283420,"11,68,02,222.77",6990
10-Mar-2026,IV,"91.00","91.50","90.90","91.00","91.18","91.17","91.21","98.19","74.96",785449,"7,16,41,104.49",5723
09-Mar-2026,IV,"91.00","91.20","90.00","91.30","91.19","91.00","90.74","98.19","74.96",1585273,"14,38,47,208.15",8900
06-Mar-2026,IV,"91.00","91.95","90.90","91.40","91.29","91.30","91.57","98.19","74.96",1046478,"9,58,23,049.80",6138
05-Mar-2026,IV,"90.64","91.50","90.57","90.10","91.48","91.40","91.21","98.19","74.96",623922,"5,69,07,488.44",5042
04-Mar-2026,IV,"91.45","91.56","89.96","91.45","90.57","90.10","90.42","98.19","74.96",2609564,"23,59,51,822.00",14607
02-Mar-2026,IV,"92.00","92.44","91.09","92.68","91.59","91.45","91.72","98.19","74.96",1673228,"15,34,76,278.09",12188
27-Feb-2026,IV,"91.81","93.15","91.55","91.49","92.75","92.68","92.65","98.19","74.96",4436258,"41,10,10,236.94",12560
26-Feb-2026,IV,"90.69","92.23","90.59","90.19","91.71","91.49","91.53","98.19","74.96",3979042,"36,42,14,006.76",8382
